SchemeCode,NAV,NAV_Date
105711,10.0025,2017-09-20
105757,55.436,2025-12-18
105758,201.168,2025-12-18
105804,83.8087,2025-12-18
105805,34.6854,2025-12-18
105816,36.3592,2025-12-18
105817,109.4676,2025-12-18
105822,11.4431,2025-12-18
105823,35.6663,2025-12-18
105856,13.3486,2025-12-18
105857,10.3655,2025-12-18
105875,104.045,2025-12-18
105878,1038.2508,2025-12-18
105881,100.6611,2025-12-18
105882,17.933,2025-04-22
105883,10.9903,2023-06-06
105884,33.9193,2025-04-22
105885,12.3125,2025-04-22
105887,100.5987,2025-12-18
105888,100.4759,2025-12-18
105907,10.0271,2017-10-24
105908,22.0296,2017-10-24
105967,10.7538,2025-12-18
105968,38.4494,2025-12-18
105989,192.456,2025-12-18
106057,11.0342,2025-03-25
106060,33.3446,2025-03-25
106095,43.3453,2025-12-18
106096,48.7255,2025-12-18
106101,10.4216,2020-09-25
106104,10.8027,2020-09-25
106141,10.0083,2017-08-28
106142,20.7912,2017-08-28
106143,45.0,2025-12-18
106144,100.12,2025-12-18
106145,26.846,2022-05-11
106146,10.0085,2022-05-11
106157,103.0741,2025-12-18
106166,364.59,2025-12-18
106167,96.53,2025-12-18
106168,66.1312,2025-12-18
106169,37.0473,2025-12-18
106170,37.131,2025-12-18
106171,1868.953,2025-12-18
106172,1151.7611,2025-12-18
106177,3260.7502,2025-12-18
106179,2013.826,2025-12-18
106183,35.2093,2025-12-18
106185,36.6251,2025-12-18
106186,11.0589,2025-12-18
106193,110.1727,2025-12-18
106212,3589.6223,2025-12-18
106213,1398.2064,2025-12-18
106214,1398.1953,2025-12-18
106215,1422.681,2025-12-18
106216,1574.3445,2025-12-18
106217,3652.9256,2025-12-18
106221,1398.5371,2025-12-18
106222,1395.0654,2025-12-18
106227,37.3659,2025-12-18
106228,15.5,2025-12-18
106229,17.1146,2025-12-18
106230,15.5233,2025-12-18
106231,33.0257,2025-12-18
106232,14.9741,2025-12-18
106233,18.2586,2025-12-18
106234,14.9593,2025-12-18
106235,92.9648,2025-12-18
106236,28.4449,2025-12-18
106238,34.1366,2020-03-03
106240,92.9648,2025-12-18
106252,44.8994,2016-07-13
106253,21.9544,2017-04-25
106255,258.7308,2018-06-04
106260,1341.9338,2025-12-18
106290,10.7894,2017-09-26
106291,17.983,2017-09-26
106292,22.5035,2017-09-26
106293,10.8172,2017-09-26
106316,19.07,2025-12-18
106317,54.46,2025-12-18
106337,10.075,2022-05-11
106338,28.5682,2022-05-11
106365,10.0759,2022-05-11
106366,27.902,2022-05-11
106367,10.065,2020-12-10
106369,32.0807,2025-12-17
106370,39.6851,2025-12-17
106383,24.2137,2025-12-18
106384,45.803,2025-12-18
106425,58.7118,2025-12-18
106426,51.3222,2025-12-18
106441,29.86,2025-12-18
106442,29.862,2025-12-18
106549,10.0325,2020-09-23
106596,31.7392,2025-12-18
106597,52.3941,2025-12-18
106624,32.5383,2025-12-18
106653,38.0,2025-12-18
106654,59.11,2025-12-18
106706,11.1176,2025-03-25
106707,33.3055,2025-03-25
106709,28.4328,2021-11-29
106760,11.8549,2013-10-21
106761,23.3622,2017-11-14
106762,11.9883,2017-11-14
